date,firm,ticker,research_development,income_before_tax,net_income,selling_general_administrative,gross_profit,ebit,operating_income,interest_expense,income_tax_expense,total_revenue,total_operating_expenses,cost_of_revenue,total_other_income_expense_net,net_income_from_continuing_ops,net_income_applicable_to_common_shares,net_margin,operating_margin,tax_rate
2021-03-31,AbbVie,ABBV,1731000000.0,3867000000.0,3553000000.0,2741000000.0,8818000000.0,4346000000.0,4346000000.0,-632000000.0,312000000.0,13010000000.0,8664000000.0,4192000000.0,-479000000.0,3555000000.0,3536000000.0,0.27309761721752496,0.3340507302075327,0.08068269976726145
2020-12-31,AbbVie,ABBV,1821000000.0,-1507000000.0,36000000.0,3099000000.0,10448000000.0,5528000000.0,5528000000.0,-629000000.0,-1545000000.0,13858000000.0,8330000000.0,3410000000.0,-7035000000.0,38000000.0,20000000.0,0.0025977774570645116,0.3989031606292394,1.0
2021-09-30,Abiomed,ABMD,41041000.0,67271000.0,56953000.0,102779000.0,204256000.0,60436000.0,60436000.0,0.0,10318000.0,248142000.0,187706000.0,43886000.0,6835000.0,56953000.0,56953000.0,0.22951777611206486,0.24355409402680722,0.15337961380089488
2021-06-30,Abiomed,ABMD,36837000.0,-9350000.0,-26525000.0,103484000.0,207397000.0,67076000.0,67076000.0,0.0,17175000.0,252585000.0,185509000.0,45188000.0,-76426000.0,-26525000.0,-26525000.0,-0.10501415365124611,0.26555812894669123,0.0
2021-03-31,Abiomed,ABMD,32599000.0,73494000.0,56856000.0,100374000.0,195167000.0,62194000.0,62194000.0,0.0,16638000.0,241245000.0,179051000.0,46078000.0,11300000.0,56856000.0,56856000.0,0.2356774233662874,0.25780430682501193,0.22638582741448282
2020-12-31,Abiomed,ABMD,32105000.0,80735000.0,61868000.0,86198000.0,190553000.0,72250000.0,72250000.0,0.0,18867000.0,231663000.0,159413000.0,41110000.0,8485000.0,61868000.0,61868000.0,0.26706034196224687,0.3118754397551616,0.23369046881773703
2021-08-31,Accenture,ACN,0.0,1917805000.0,1416248000.0,2507527000.0,4466216000.0,1958689000.0,1958689000.0,-12977000.0,480382000.0,13419284000.0,11460595000.0,8953068000.0,-40884000.0,1437423000.0,1416248000.0,0.10553826865874513,0.14596076810059314,0.2504853204575022
2021-05-31,Accenture,ACN,0.0,2094001000.0,1549426000.0,2285728000.0,4404384000.0,2118656000.0,2118656000.0,-28739000.0,524429000.0,13263795000.0,11145139000.0,8859411000.0,-24655000.0,1569572000.0,1549426000.0,0.11681619023816336,0.1597322636545574,0.25044352891904065
2021-02-28,Accenture,ACN,0.0,1762443000.0,1440859000.0,1941717000.0,3595232000.0,1653515000.0,1653515000.0,-8922000.0,300950000.0,12088125000.0,10434610000.0,8492893000.0,108928000.0,1461493000.0,1440859000.0,0.11919623597538907,0.13678837702290472,0.17075729541324172
2020-11-30,Accenture,ACN,0.0,1986867000.0,1500276000.0,2007627000.0,3898296000.0,1890669000.0,1890669000.0,-8854000.0,464810000.0,11762185000.0,9871516000.0,7863889000.0,96198000.0,1522057000.0,1500276000.0,0.1275507909457299,0.16074130784373822,0.233941174723824
2021-09-30,Activision Blizzard,ATVI,329000000.0,759000000.0,639000000.0,387000000.0,1543000000.0,827000000.0,827000000.0,-27000000.0,120000000.0,2070000000.0,1243000000.0,527000000.0,-68000000.0,639000000.0,639000000.0,0.30869565217391304,0.39951690821256036,0.15810276679841898
2021-06-30,Activision Blizzard,ATVI,335000000.0,1002000000.0,876000000.0,434000000.0,1741000000.0,972000000.0,972000000.0,-27000000.0,126000000.0,2296000000.0,1324000000.0,555000000.0,30000000.0,876000000.0,876000000.0,0.38153310104529614,0.42334494773519166,0.12574850299401197
2021-03-31,Activision Blizzard,ATVI,353000000.0,765000000.0,619000000.0,519000000.0,1697000000.0,825000000.0,825000000.0,-28000000.0,146000000.0,2275000000.0,1450000000.0,578000000.0,-60000000.0,619000000.0,619000000.0,0.2720879120879121,0.3626373626373626,0.19084967320261437
2020-12-31,Activision Blizzard,ATVI,348000000.0,563000000.0,509000000.0,597000000.0,1595000000.0,650000000.0,650000000.0,-27000000.0,54000000.0,2412000000.0,1762000000.0,817000000.0,-87000000.0,509000000.0,509000000.0,0.21102819237147596,0.269485903814262,0.09591474245115453
2021-09-30,ADM,ADM,0.0,653000000.0,526000000.0,716000000.0,1326000000.0,607000000.0,607000000.0,-61000000.0,120000000.0,20340000000.0,19733000000.0,19014000000.0,46000000.0,533000000.0,526000000.0,0.025860373647984266,0.029842674532940018,0.18376722817764166
2021-06-30,ADM,ADM,0.0,825000000.0,712000000.0,815000000.0,1463000000.0,642000000.0,642000000.0,-40000000.0,113000000.0,22926000000.0,22284000000.0,21463000000.0,183000000.0,712000000.0,712000000.0,0.031056442467067957,0.028003140539125882,0.13696969696969696
2021-03-31,ADM,ADM,0.0,824000000.0,689000000.0,697000000.0,1548000000.0,843000000.0,843000000.0,-87000000.0,131000000.0,18893000000.0,18050000000.0,17345000000.0,-19000000.0,693000000.0,689000000.0,0.03646853331921876,0.04461970041814429,0.15898058252427186
2020-12-31,ADM,ADM,0.0,756000000.0,687000000.0,720000000.0,1352000000.0,615000000.0,615000000.0,-69000000.0,63000000.0,17978000000.0,17363000000.0,16626000000.0,141000000.0,693000000.0,687000000.0,0.03821337189898765,0.03420847702747803,0.08333333333333333
2021-09-03,Adobe,ADBE,651000000.0,1418000000.0,1212000000.0,1333000000.0,3468000000.0,1441000000.0,1441000000.0,-27000000.0,206000000.0,3935000000.0,2494000000.0,467000000.0,-23000000.0,1212000000.0,1212000000.0,0.308005082592122,0.3662007623888183,0.14527503526093088
2021-06-04,Adobe,ADBE,612000000.0,1386000000.0,1116000000.0,1329000000.0,3391000000.0,1406000000.0,1406000000.0,-28000000.0,270000000.0,3835000000.0,2429000000.0,444000000.0,-20000000.0,1116000000.0,1116000000.0,0.2910039113428944,0.3666232073011734,0.19480519480519481
2021-03-05,Adobe,ADBE,620000000.0,1433000000.0,1261000000.0,1339000000.0,3458000000.0,1454000000.0,1454000000.0,-30000000.0,172000000.0,3905000000.0,2451000000.0,447000000.0,-21000000.0,1261000000.0,1261000000.0,0.3229193341869398,0.37234314980793853,0.12002791346824843
2020-11-27,Adobe,ADBE,558000000.0,1197000000.0,2250000000.0,1184000000.0,2996000000.0,1215000000.0,1215000000.0,-27000000.0,-1053000000.0,3424000000.0,2209000000.0,428000000.0,-18000000.0,2250000000.0,2250000000.0,0.657126168224299,0.3548481308411215,0.0
2021-07-17,Advance Auto Parts,AAP,0.0,237765000.0,178696000.0,932793000.0,1189416000.0,256623000.0,256623000.0,-8306000.0,59069000.0,2649415000.0,2392792000.0,1459999000.0,-18858000.0,178696000.0,178696000.0,0.06744734214911594,0.09686025028166595,0.24843437848295585
2021-04-24,Advance Auto Parts,AAP,0.0,245774000.0,185930000.0,1200138000.0,1487229000.0,287091000.0,287091000.0,-11191000.0,59844000.0,3330370000.0,3043279000.0,1843141000.0,-41317000.0,185930000.0,185930000.0,0.055828631653539997,0.08620393529848035,0.2434919885748696
2021-09-25,Advanced Micro Devices,AMD,765000000.0,1005000000.0,923000000.0,368000000.0,2086000000.0,956000000.0,956000000.0,-7000000.0,82000000.0,4313000000.0,3357000000.0,2227000000.0,49000000.0,923000000.0,923000000.0,0.21400417342916764,0.22165546023649432,0.08159203980099503
2021-06-26,Advanced Micro Devices,AMD,659000000.0,823000000.0,710000000.0,331000000.0,1830000000.0,841000000.0,841000000.0,-10000000.0,113000000.0,3850000000.0,3009000000.0,2020000000.0,-18000000.0,710000000.0,710000000.0,0.18441558441558442,0.21844155844155844,0.13730255164034022
2021-03-27,Advanced Micro Devices,AMD,610000000.0,644000000.0,555000000.0,304000000.0,1587000000.0,677000000.0,677000000.0,-9000000.0,89000000.0,3445000000.0,2768000000.0,1858000000.0,-33000000.0,555000000.0,555000000.0,0.16110304789550073,0.1965166908563135,0.13819875776397517
2020-12-26,Advanced Micro Devices,AMD,573000000.0,549000000.0,1781000000.0,308000000.0,1451000000.0,570000000.0,570000000.0,-9000000.0,-1232000000.0,3244000000.0,2674000000.0,1793000000.0,-21000000.0,1781000000.0,1781000000.0,0.5490135635018496,0.17570900123304561,0.0
2021-09-30,AES Corp,AES,0.0,611000000.0,343000000.0,39000000.0,760000000.0,721000000.0,721000000.0,-242000000.0,126000000.0,3036000000.0,2315000000.0,2276000000.0,-110000000.0,485000000.0,343000000.0,0.1129776021080369,0.23748353096179184,0.20621931260229132
2021-06-30,AES Corp,AES,0.0,-140000000.0,28000000.0,45000000.0,728000000.0,683000000.0,683000000.0,-237000000.0,-59000000.0,2700000000.0,2017000000.0,1972000000.0,-823000000.0,-81000000.0,28000000.0,0.01037037037037037,0.25296296296296295,0.42142857142857143
2021-03-31,AES Corp,AES,0.0,-21000000.0,-148000000.0,46000000.0,664000000.0,618000000.0,618000000.0,-190000000.0,8000000.0,2635000000.0,2017000000.0,1971000000.0,-639000000.0,-29000000.0,-148000000.0,-0.05616698292220114,0.23453510436432637,0.0
2020-12-31,AES Corp,AES,0.0,562000000.0,318000000.0,47000000.0,724000000.0,677000000.0,677000000.0,-297000000.0,161000000.0,2560000000.0,1883000000.0,1836000000.0,-115000000.0,401000000.0,318000000.0,0.12421875,0.264453125,0.28647686832740216
2021-09-30,Aflac,AFL,0.0,1113000000.0,888000000.0,869000000.0,2039000000.0,1170000000.0,1170000000.0,-57000000.0,225000000.0,5237000000.0,4067000000.0,3198000000.0,-57000000.0,888000000.0,888000000.0,0.16956272675195722,0.2234103494367004,0.20215633423180593
2021-06-30,Aflac,AFL,0.0,1373000000.0,1105000000.0,881000000.0,2316000000.0,1435000000.0,1435000000.0,-62000000.0,268000000.0,5564000000.0,4129000000.0,3248000000.0,-62000000.0,1105000000.0,1105000000.0,0.1985981308411215,0.2579079798705967,0.19519300801165332
2021-03-31,Aflac,AFL,0.0,1603000000.0,1293000000.0,832000000.0,2497000000.0,1665000000.0,1665000000.0,-62000000.0,310000000.0,5869000000.0,4204000000.0,3372000000.0,-62000000.0,1293000000.0,1293000000.0,0.22031010393593456,0.2836939853467371,0.1933873986275733
2020-12-31,Aflac,AFL,0.0,1217000000.0,952000000.0,1038000000.0,2316000000.0,1278000000.0,1278000000.0,-61000000.0,265000000.0,5913000000.0,4635000000.0,3597000000.0,-61000000.0,952000000.0,952000000.0,0.16100118383223405,0.2161339421613394,0.21774856203779785
2021-07-31,Agilent Technologies,A,113000000.0,327000000.0,264000000.0,390000000.0,852000000.0,349000000.0,349000000.0,-21000000.0,63000000.0,1586000000.0,1237000000.0,734000000.0,-22000000.0,264000000.0,264000000.0,0.1664564943253468,0.22005044136191676,0.1926605504587156
2021-04-30,Agilent Technologies,A,109000000.0,273000000.0,216000000.0,420000000.0,817000000.0,288000000.0,288000000.0,-20000000.0,57000000.0,1525000000.0,1237000000.0,708000000.0,-15000000.0,216000000.0,216000000.0,0.14163934426229507,0.18885245901639344,0.2087912087912088
2021-01-31,Agilent Technologies,A,103000000.0,312000000.0,288000000.0,398000000.0,838000000.0,337000000.0,337000000.0,-19000000.0,24000000.0,1548000000.0,1211000000.0,710000000.0,-25000000.0,288000000.0,288000000.0,0.18604651162790697,0.2177002583979328,0.07692307692307693
2020-10-31,Agilent Technologies,A,102000000.0,283000000.0,222000000.0,342000000.0,788000000.0,344000000.0,344000000.0,-19000000.0,61000000.0,1483000000.0,1139000000.0,695000000.0,-61000000.0,222000000.0,222000000.0,0.14969656102494944,0.23196223870532703,0.21554770318021202
2021-09-30,Air Products & Chemicals,APD,25700000.0,692300000.0,610400000.0,202100000.0,834800000.0,616700000.0,616700000.0,-33400000.0,125300000.0,2841100000.0,2224400000.0,2006300000.0,75600000.0,567000000.0,610400000.0,0.21484636232445178,0.21706381331174546,0.18099089989888775
2021-06-30,Air Products & Chemicals,APD,23200000.0,625800000.0,533600000.0,192600000.0,802800000.0,598400000.0,598400000.0,-35600000.0,101700000.0,2604700000.0,2006300000.0,1801900000.0,27400000.0,524100000.0,533600000.0,0.20486044458094982,0.22973854954505318,0.16251198465963568
2021-03-31,Air Products & Chemicals,APD,21100000.0,599000000.0,473100000.0,189100000.0,756500000.0,555800000.0,555800000.0,-36100000.0,121900000.0,2502000000.0,1946200000.0,1745500000.0,43200000.0,477100000.0,473100000.0,0.18908872901678658,0.22214228617106316,0.20350584307178632
